Item_ID	Sentence	Determiner	Noun	Predicate	Subject	SubjectLength	SubjectParse
1142599:4	the parents were glad of a helping hand so them could have some time to themselves.	the	parents	glad	the parents	2	(NP (DT The) (NNS parents))
1142819:4	the members were generous with the collection which was donated to c.a.f.o.d. the organist was mr j. baron and the singing of the mothers was a joy to listen to.	the	members	generous	the members	2	(NP (DT The) (NNS members))
1143266:24	we soon found that, though the surroundings were drab, the people were alive with love for god and love for us.	the	surroundings	drab	the surroundings	2	(NP (DT the) (NNS surroundings))
1143266:37	we soon found that, though the surroundings were drab, the people were alive with love for god and love for us.	the	people	alive	the people	2	(NP (DT the) (NNS people))
1143625:18	of course none of these remarks were justified.	these	remarks	justified	these	1	(NP (DT these))
1152220:4	the walls were bare of the famous brussels tapestries; his footsteps echoed on uncarpeted floors.	the	walls	bare	the walls	2	(NP (DT The) (NNS walls))
1152252:8	the gardens were over-grown and neglected, the gravel paths a wilderness of weeds, the formal hedges unclipped for years.	the	gardens	over-grown	the gardens	2	(NP (DT The) (NNS gardens))
1152593:4	the gifts were beautiful, almost priceless, and, of course, from de chavigny.	the	gifts	beautiful	the gifts	2	(NP (DT The) (NNS gifts))
1153629:4	the eyes were like flint.	the	eyes	like	the eyes	2	(NP (DT The) (NNS eyes))
1153731:35	there were lines now from nose to mouth; the lips were stern; she had seen him take in the room, who was there, with whom, with one cold appraising glance as he entered.	the	lips	stern	the lips	2	(NP (DT the) (NNS lips))
1156371:17	the oval dining table and the chairs were modern as were the wedgwood dinner service and the elegant glasses.	the	chairs	modern	the chairs	2	(NP (DT the) (NNS chairs))
1157478:7	already the evenings were darkening.	the	evenings	darkening	the evenings	2	(NP (DT the) (NNS evenings))
1158717:9	individually, both dogs were perfect pets, though stan was more retiring then the effervescent ollie.	both	dogs	perfect	both dogs	2	(NP (DT both) (NNS dogs))
1163698:9	what these qualities were furse was never so vulgar or incautious as to define.	these	qualities	furse	these qualities	2	(NP (DT these) (NNS qualities))
1163731:4	the schools were aware of the importance of the gerontocratic process and called it" learning to command and obey".	the	schools	aware	the schools	2	(NP (DT The) (NNS schools))
1166820:4	the demonstrations were important too because they included sets with 28in. screens.	the	demonstrations	important	the demonstrations	2	(NP (DT The) (NNS demonstrations))
1169590:5	the difficulties were considerable for aircraft were still primitive with open cockpits, and airfields were very few and far between.	the	difficulties	considerable	the difficulties	2	(NP (DT The) (NNS difficulties))
1172626:5	both females were full of eggs, so i put both pairs in a 24" 12" 12" tank to prevent the fry being eaten.	both	females	full	both females	2	(NP (DT Both) (NNS females))
1174800:110	these catfish have been bred in captivity in tanks containing african rift valley cichlids, although there have been one or two reports of them scattering their eggs in the substrate in the usual synodontis fashion when no cichlids were present.	no	cichlids	present	no cichlids	2	(NP (DT no) (NNS cichlids))
1174858:4	the eggs were clear for the first two or three days, after which the developing fish were clearly visible inside.	the	eggs	clear	the eggs	2	(NP (DT The) (NNS eggs))
1182580:12	some of the collisions were violent, but other planetesimals simply blended in with other collisions.	the	collisions	violent	the collisions	2	(NP (DT the) (NNS collisions))
1183340:4	both types were capable of bipedal walking.	both	types	capable	both types	2	(NP (DT Both) (NNS types))
1183562:4	the dinosaurs were successful in maintaining a mechanically harmonious relationship between their very long tail and the rest of their bodies.	the	dinosaurs	successful	the dinosaurs	2	(NP (DT The) (NNS dinosaurs))
1183790:46	bakker was firmly of the opinion that most, if not all, of the dinosaurs were warm-blooded: i.e. they were endothermic.	the	dinosaurs	warm-blooded	the dinosaurs	2	(NP (DT the) (NNS dinosaurs))
1184488:22	while it was true that all religions were imperfect and that hinduism was no different from christianity in this respect, it did not follow that the christian claim" jesus is the only son of god" could be universally accepted.	all	religions	imperfect	all religions	2	(NP (DT all) (NNS religions))
1184789:4	the suffragettes were weak physically and numerically, without franchise, and had resorted to passive resistance as the only weapon at their disposal.	the	suffragettes	weak	the suffragettes	2	(NP (DT The) (NNS suffragettes))
1185627:84	and i'm also pleased to see most seed companies acknowledging that they are revivals; in the past they have often tried to pretend that these reintroductions were stunning new breakthroughs.	these	reintroductions	stunning	these reintroductions	2	(NP (DT these) (NNS reintroductions))
1186230:23	the committee found that most of the complaints were justified and recommended improvements which resulted in the conditions of service and promotion prospects of the staff being brought into line with the rest of the civil service.	the	complaints	justified	the complaints	2	(NP (DT the) (NNS complaints))
1196455:48	phil also played me a track he'd recorded using the jmp-1 direct and the tones were awesome.	the	tones	awesome	the tones	2	(NP (DT the) (NNS tones))
1200228:36	i was recently given a les paul copy guitar, but unfortunately the electrics were faulty.	the	electrics	faulty	the electrics	2	(NP (DT the) (NNS electrics))
1206077:13	after engraving, the bodies were nickel-plated, and that's why a 60-year old guitar can be so shiny; for some complex metallurgical reason, electro-plated nickel on top of nickel doesn't tarnish.	the	bodies	nickel-plated	the bodies	2	(NP (DT the) (NNS bodies))
1206923:24	as well as having no binding, the tops were flat, as opposed to the traditional carved top of the custom and standard; the pickups were exposed --lrb- no covers --rrb-; the necks were three-piece laminated and used ebony fingerboards; the guitars were finished with a natural, matt cellulose lacquer.	the	tops	flat	the tops	2	(NP (DT the) (NNS tops))
1206923:98	as well as having no binding, the tops were flat, as opposed to the traditional carved top of the custom and standard; the pickups were exposed --lrb- no covers --rrb-; the necks were three-piece laminated and used ebony fingerboards; the guitars were finished with a natural, matt cellulose lacquer.	the	necks	three-piece	the necks	2	(NP (DT the) (NNS necks))
1207000:8	while the shadows were responsible for this red/pink mania, some years later jimi hendrix inspired most of these to be refinished or over-painted -- this time mostly in white.	the	shadows	responsible	the shadows	2	(NP (DT The) (NNS Shadows))
1208989:55	we took three hairflair readers along to the schwarzkopf london academy to try these new professional products -- the results were stunning!	the	results	stunning	the results	2	(NP (DT the) (NNS results))
1211434:10	with it some people were able to identify any one of 120 sentences.	some	people	able	some people	2	(NP (DT some) (NNS people))
1213290:4	many mothers were upset because they feared for the safety of their children -- and because, for numerous women, control over young people had been one of the few ways to exercise power in society.	many	mothers	upset	many mothers	2	(NP (DT Many) (NNS mothers))
1216861:45	there were significant differences between the controls and some of the potencies, and the results were reproducible.	the	results	reproducible	the results	2	(NP (DT the) (NNS results))
1217875:12	most of the students were able to answer most of the questions but, as you would expect, many of the viewers had one or more questions to which they could not remember the answer.	the	students	able	the students	2	(NP (DT the) (NNS students))
1219234:13	he agreed the figures were wrong and that they would be amended.	the	figures	wrong	the figures	2	(NP (DT the) (NNS figures))
1224024:4	the guides were hot and thirsty, but as miss lodsworth went to the kitchen tap for water to fill up the jugs of concentrated lemon squash, only a trickle came out of the tap.	the	guides	hot	the guides	2	(NP (DT The) (NNS guides))
1230426:87	then she decided that there might not be enough food so she went out to buy potatoes to put in the oven to bake an hour before the guests were due, she was lonely.	the	guests	due	the guests	2	(NP (DT the) (NNS guests))
1230865:4	the eyes were bright blue and heavily mascaraed in navy and the woman wore a pink ribbon in loosely permed hair that was coloured almost to a shade of orange.	the	eyes	bright	the eyes	2	(NP (DT The) (NNS eyes))
1230957:63	the hair was black, cropped short, the mouth looked like a casket holding mighty documents, and the eyes -- the eyes were blue like electric shock-waves and held lee as the eyes of an o' toole or cooper hold the audience when in close-up, like magnets, obliterating backdrops, chinese plains, crazy broads, plots, accompanying scores, orson welles, everything.	the	eyes	blue	the eyes	2	(NP (DT the) (NNS eyes))
1231052:22	the whites of the tops of the waves were lengthy, pretty, insistent.	the	waves	lengthy	the waves	2	(NP (DT the) (NNS waves))
1235719:16	if someone believed that tables were better than chairs, we would think they were talking nonsense.	that	tables	better	that tables	2	(NP (DT that) (NNS tables))
1239070:11	some of the patients were very groggy afterwards, though."	the	patients	very	the patients	2	(NP (DT the) (NNS patients))
1239712:4	these pictures were original designs, landscapes, old master copies and floral pieces.	these	pictures	original	these pictures	2	(NP (DT These) (NNS pictures))
1240048:4	these ships were regular visitors for over twenty years.	these	ships	regular	these ships	2	(NP (DT These) (NNS ships))
1240970:22	they had many officers, and the uniforms were similar to those of the portuguese royal navy -- black uniforms --lrb- whites in summer --rrb-, gold epaulettes or gold braid on both sleeves and gold anchors woven on black cloth on the fronts of their caps.	the	uniforms	similar	the uniforms	2	(NP (DT the) (NNS uniforms))
1241286:59	three days later, on 23rd., the stukas returned to the skies over malta, and on this occasion the defences were able to engage them without undue fighter interference, although plt.off.	the	defences	able	the defences	2	(NP (DT the) (NNS defences))
1241384:15	for some good reason no hurricanes were available and orders were telephoned through for the fulmars to get airborne and gain altitude over hal far.	no	hurricanes	available	no hurricanes	2	(NP (DT no) (NNS Hurricanes))
1242543:8	aboard the carriers were forty-eight hurricanes and six fulmars to be flown off, although on this occasion not all the fighters were for malta.	the	carriers	forty-eight	the carriers	2	(NP (DT the) (NNS carriers))
1242665:4	the pilots were dismayed, for they had no kit with them, all being aboard ship with the ground party, bound for egypt.	the	pilots	dismayed	the pilots	2	(NP (DT The) (NNS pilots))
1242720:106	about ten hurricanes were gathered round the dispersal hut at takali on the afternoon of 25 may when just before 1400 the sirens went, but the squadron was not ordered off, although the pilots were ready strapped into their cockpits.	the	pilots	ready	the pilots	2	(NP (DT the) (NNS pilots))
1243350:11	most of the lodgers were transient steel erectors, working for short periods on small jobs and then moving on.	the	lodgers	transient	the lodgers	2	(NP (DT the) (NNS lodgers))
1245031:4	the troves were many.	the	troves	many	the troves	2	(NP (DT The) (NNS troves))
1245480:14	we both thought the arrangements were excellent.	the	arrangements	excellent	the arrangements	2	(NP (DT the) (NNS arrangements))
1247982:4	the pages were crisp and white and were filled with the most marvellous pictures of animals wearing clothes.	the	pages	crisp	the pages	2	(NP (DT The) (NNS pages))
1247998:4	the paints were red, yellow and blue.	the	paints	red	the paints	2	(NP (DT The) (NNS paints))
1248145:4	the cakes were lovely, though.	the	cakes	lovely	the cakes	2	(NP (DT The) (NNS cakes))
1251111:5	these spirits were begotten of nyx, the goddess of night, and they wore robes stained scarlet from the blood of their victims.	these	spirits	begotten	these spirits	2	(NP (DT These) (NNS spirits))
1254910:27	at least previous populists like julie burchill and the swells were funny and obviously masochists.	the	swells	funny	the swells	2	(NP (DT the) (NNS Swells))
1256638:4	the records were unassailable proof to him that the franks had really landed in the mainland.	the	records	unassailable	the records	2	(NP (DT The) (NNS records))
1256820:77	celluloid records was one of those insanely annoying new york labels where everyone seemed to be making records based on weird theories and somehow all the records were great.	the	records	great	all the records were great	5	(NP (PDT all) (DT the) (NNS records) (S (VP (AUX were) (ADJP (JJ great)))))
1260370:25	the sun rejects kinnock's claim that the tabloids were responsible for labour's defeat, despite having said just that three days previously:" it is flattering for him to suggest we have so much power.	the	tabloids	responsible	the tabloids	2	(NP (DT the) (NNS tabloids))
1262848:8	if the bolts were responsible, then a further question mark will hang over the future of the industry.	the	bolts	responsible	the bolts	2	(NP (DT the) (NNS bolts))
1265390:4	the windows were whole.	the	windows	whole	the windows	2	(NP (DT The) (NNS windows))
1265699:47	when i lived there, the soviet union was labouring in its final throes and the parades were desperate assertions rather than celebrations.	the	parades	desperate	the parades	2	(NP (DT the) (NNS parades))
1270863:61	that an exchange of the ransom for simon cormack would be set up within the day, and that the authorities were confident all the kidnappers would be caught in the process.	the	authorities	confident	the authorities	2	(NP (DT the) (NNS authorities))
1272629:4	the lights were red.	the	lights	red	the lights	2	(NP (DT The) (NNS lights))
1272676:4	the rooms were dusty after four weeks without attention.	the	rooms	dusty	the rooms	2	(NP (DT The) (NNS rooms))
1273864:29	within the large car plants themselves, where the unions were strong and the companies were able to offer a relatively stable employment policy by shifting the troughs and peaks in the work-load out to sub-contractors, management had adopted what friedman termed the" responsible autonomy" strategy.	the	unions	strong	the unions	2	(NP (DT the) (NNS unions))
1273864:43	within the large car plants themselves, where the unions were strong and the companies were able to offer a relatively stable employment policy by shifting the troughs and peaks in the work-load out to sub-contractors, management had adopted what friedman termed the" responsible autonomy" strategy.	the	companies	able	the companies	2	(NP (DT the) (NNS companies))
1276692:16	having cautioned her, the police were ready to take her away from her south ronaldsay home for questioning.	the	police	ready	the police	2	(NP (DT the) (NNS police))
1276960:5	the children were subject to regular" disclosure therapy", and it is from these disclosures that the allegations against the four south ronaldsay families were made.	the	children	subject	the children	2	(NP (DT The) (NNS children))
1277485:5	the allegations were serious, and it had not been supposed that the children would be allowed home with no further action.	the	allegations	serious	the allegations	2	(NP (DT The) (NNS allegations))
1277532:11	many of the supporters were eager to put their points of view to the waiting journalists.	the	supporters	eager	the supporters	2	(NP (DT the) (NNS supporters))
1277618:37	the two lawyers told the meeting in st margaret's hope that the offices were ideal for their purposes.	the	offices	ideal	the offices	2	(NP (DT the) (NNS offices))
1277787:52	they said parents sexually abused their children as part of a satanic ritual, and that these practices were widespread.	these	practices	widespread	these practices	2	(NP (DT these) (NNS practices))
1282925:8	just as the shops were shuttin'	the	shops	shuttin	just as the shops	4	(NP (RB Just) (RB as) (DT the) (NNS shops))
1283571:7	but the sansculottes were capable of independent action; in august they had seized the king, and in september, fearing the advancing armies might use the prisoners in the paris prisons, they began to murder them --lrb- september massacres --rrb-.	the	sansculottes	capable	the sansculottes	2	(NP (DT the) (NNS sansculottes))
1283985:19	i have always said the people were right in what they asked; but you went the wrong way to get it."	the	people	right	the people	2	(NP (DT the) (NNS people))
1290228:7	but the results were forthcoming and he managed to squeeze in a couple of lower grade games for his sydney club eastwood before the end of the season.	the	results	forthcoming	the results	2	(NP (DT the) (NNS results))
1295347:62	he spoke with a strong irish accent, soon to be a familiar sound on board since most of the emigrants were irish -- and most of them as scrawny and hollow-cheeked as he was.	the	emigrants	irish	the emigrants	2	(NP (DT the) (NNS emigrants))
1297462:153	it was another seventy years before it arrived in sussex, then more by accident than design, at least in human terms; bede recounted that a scottish monk, dicul, had set up a small monastery with five or six brothers at bosham in the 660s but none of the natives were willing to follow their way of life or listen to their teaching.	the	natives	willing	the natives	2	(NP (DT the) (NNS natives))
1297649:62	after several hours of futile combat, in which the norman minstrel taillefer perished in a glorious suicide ride and the knights were unable to smash the fyrd' s defensive rings, the battle turned, the saxon ranks broke line under their own enthusiasm rather than the norman ruse always reported, and harold was eventually mortally wounded by the repeated rain of arrows which, lacking sufficient archers, the english were unable to return.	the	knights	unable	the knights	2	(NP (DT the) (NNS knights))
1297904:50	but this neatly organised hierarchy of the document is misleading; the listing was made because the archbishops were unsure of their rights after years of maladministration when many of the services had ceased or been exchanged for cash payments.	the	archbishops	unsure	the archbishops	2	(NP (DT the) (NNS archbishops))
1298013:5	these outbursts were exceptional, directly attributable to increasing distress, but they were extreme symptoms of the ready violence of much of medieval society.	these	outbursts	exceptional	these outbursts	2	(NP (DT These) (NNS outbursts))
1298271:93	the new styles marked a major change of direction at the time of the civil wars; although they often impinged only indirectly on local farming life, the upheavals of the 1640s were enough to halt the great rebuilding almost entirely.	the	1640s	enough	the 1640s	2	(NP (DT the) (NNS 1640s))
1304024:16	the difficulty was that the courts were unable to function effectively.	the	courts	unable	the courts	2	(NP (DT the) (NNS courts))
1304203:4	these officials were responsible for the collection of revenue and the general administration of the districts where they were stationed.	these	officials	responsible	these officials	2	(NP (DT These) (NNS officials))
1304472:4	these links were weak or nonexistent in the low country, where most villages were identified with only one caste.	these	links	weak	these links	2	(NP (DT These) (NNS links))
1304604:4	the courts were dependent on interpreters from the very beginning of british rule.	the	courts	dependent	the courts	2	(NP (DT The) (NNS courts))
1304856:22	by systematically analysing crime reports, the police were able to" map" outbreaks of crime and gain clues to the identity of the perpetrators.	the	police	able	the police	2	(NP (DT the) (NNS police))
1304936:86	when the government, with the intention of circumventing petition-drawers, proposed legislation to require all criminal plaints to be presented personally, some judicial officials argued that not all petition-drawers were dishonest, and that they served a function in the judicial system because there were too many complaints for magistrates to settle without help.	all	petition-drawers	dishonest	not all	2	(ADJP (RB not) (DT all))
1304973:64	there was a large increase in the total number of criminal charges in the early twentieth century, but, most of these offences were minor regulatory infractions, such as traffic and safety violations.	these	offences	minor	these offences	2	(NP (DT these) (NNS offences))
1305019:8	if the institutions were inappropriate, why were they not ignored?	the	institutions	inappropriate	the institutions	2	(NP (DT the) (NNS institutions))
1305054:60	corruption was not normally a problem among judges and magistrates, but in the early and mid-nineteenth century many of these officials were incompetent or excessively eccentric.	these	officials	incompetent	these officials	2	(NP (DT these) (NNS officials))
1305102:74	supported by the government agent, ridgeway refused to do so on the ground that it was commonly believed in the district that the men were guilty.	the	men	guilty	the men	2	(NP (DT the) (NNS men))
1305106:30	his successor, blake, was also convinced that the men were guilty, but agreed to release them.	the	men	guilty	the men	2	(NP (DT the) (NNS men))
1305202:4	these payments were equivalent to those made to specialists who were skilled in influencing demons and spirits.	these	payments	equivalent	these payments	2	(NP (DT These) (NNS payments))
1305421:116	this assumption was not necessarily justified, for the feud may have been a motive for the theft, or it may have determined whom the complainant decided to accuse in a case of real theft when the thieves were unknown.	the	thieves	unknown	the thieves	2	(NP (DT the) (NNS thieves))
1305464:14	in the intermediate region the numbers were constant-until 1893, with the exceptions of dips in 1875 -- 9 and 1888 -- 9, both of which were caused by special government measures.	the	numbers	constant-until	the numbers	2	(NP (DT the) (NNS numbers))
1306684:15	investigators believed that the conversations were different and intercepted as mr gilbey used his car phone on the outskirts of oxford to call diana at sandringham.	the	conversations	different	the conversations	2	(NP (DT the) (NNS conversations))
1313902:25	there were many people around yet the flames were able to spread uncontrollably.	the	flames	able	the flames	2	(NP (DT the) (NNS flames))
1316103:7	both those statements were momentous for the royal family but the historical impact of charles and diana's separation is likely to be greater.	those	statements	momentous	both those statements	3	(NP (PDT Both) (DT those) (NNS statements))
1316176:4	the results were dazzling.	the	results	dazzling	the results	2	(NP (DT The) (NNS results))
1322604:16	despite earlier profit warnings, the results were worse than expected.	the	results	worse	the results	2	(NP (DT the) (NNS results))
1323425:7	" these murders were brutal and evil," said kissimmee police chief jack pate.	these	murders	brutal	these murders	2	(NP (DT These) (NNS murders))
1324063:7	" the conditions were colder than i've ever worked in before," said harry.	the	conditions	colder	the conditions	2	(NP (DT The) (NNS conditions))
1324740:19	the examination also revealed that both women were dead before being dragged across the beach and dumped into the ocean.	both	women	dead	both women	2	(NP (DT both) (NNS women))
1326936:13	two hours after the explosions were due, bomb disposal experts moved in.	the	explosions	due	the explosions	2	(NP (DT the) (NNS explosions))
1327677:32	mirror group newspapers and its then editors acknowledged yesterday that the attacks were unfounded.	the	attacks	unfounded	the attacks	2	(NP (DT the) (NNS attacks))
1328352:67	union lawyers may sue the president of the board of trade for failing to act on a judge's ruling that the shutdowns were illegal.	the	shutdowns	illegal	the shutdowns	2	(NP (DT the) (NNS shutdowns))
1332322:7	" the streets were full of people moving to a safe area," he said.	the	streets	full	the streets	2	(NP (DT The) (NNS streets))
1332706:50	the court heard that irate shoppers complained to trading standards officers after finding out the reductions were bogus.	the	reductions	bogus	the reductions	2	(NP (DT the) (NNS reductions))
1336642:20	" i don't think the critics were hard enough," he said in a radio interview.	the	critics	hard	the critics	2	(NP (DT the) (NNS critics))
1337692:19	the only people cheered by the figures were cold cure producers -- victims spent$ 172 million on remedies last year.	the	figures	cold	the figures	2	(NP (DT the) (NNS figures))
1339529:22	from these four words she believes the men were white and local.	the	men	white	the men	2	(NP (DT the) (NNS men))
1343103:113	hoeness has recently made discreet enquiries about robins, in action against tottenham today, and believes he could prise him away from carrow road, where he is on a four-year contract, providing the terms were right.	the	terms	right	the terms	2	(NP (DT the) (NNS terms))
1346473:4	both managers were scathing afterwards, peterborough's chris turner insisting the decision could spark similar incidents later on.	both	managers	scathing	both managers	2	(NP (DT Both) (NNS managers))
1351174:4	the phones were red-hot at torquay, with fans ringing to complain that fashanu's absence may have been instrumental in their 2-0 defeat.	the	phones	red-hot	the phones	2	(NP (DT The) (NNS phones))
1352071:23	but news filtered back yesterday that the wbc were adamant about tucker, the former ibf champion, being lewis's first opponent in a mandatory defence.	the	wbc	adamant	the wbc	2	(NP (DT the) (NNS WBC))
1354274:6	all the participants were unskilled and the majority, as we the group-takers understood it, had migrated to this town from the larger industrial cities that the seaside resort served as a holiday venue.	the	participants	unskilled	all the participants	3	(NP (DT All) (DT the) (NNS participants))
1354696:12	so, whether the overseers were aware of it or not, the members of sheppards barton baptist chapel set about helping their ailing sister with a bit of cash support of their own.	the	overseers	aware	the overseers	2	(NP (DT the) (NNS overseers))
1355612:78	they would be better fed, better clothed -- even better educated -- while their parents were alive, and better pleased with their legacies once those parents were dead.	those	parents	dead	those parents	2	(NP (DT those) (NNS parents))
1356862:4	the trolleybuses were unable to get up the hill for much of the next day.	the	trolleybuses	unable	the trolleybuses	2	(NP (DT The) (NNS trolleybuses))
1357146:54	the seats against the stair well and at the end of the canopy were fixed, but the others were reversible.	the	others	reversible	the others	2	(NP (DT the) (NNS others))
1357182:5	the bodies were similar to nos. 1-35, but contained a number of small improvements.	the	bodies	similar	the bodies	2	(NP (DT The) (NNS bodies))
1357455:18	" e/1s", hardly any modifications were necessary.	any	modifications	necessary	any modifications	2	(NP (DT any) (NNS modifications))
1357634:4	the canopies were wide and rather flat ended, with the headlamp mounted in the centre thereof, instead of on the dash.	the	canopies	wide	the canopies	2	(NP (DT The) (NNS canopies))
1361457:5	the miners were emaciated, old before their time, and so were their bedraggled, staring women.	the	miners	emaciated	the miners	2	(NP (DT The) (NNS miners))
1362184:4	both men were prolific letter-writers, both allowed their correspondents generous access to all their moods, and gave intimate details of their daily lives.	both	men	prolific	both men	2	(NP (DT Both) (NNS men))
1362610:5	these children were dead, vincent knew nothing of them.	these	children	dead	these children	2	(NP (DT These) (NNS children))
1362991:8	" those trees were superb; there was drama in each figure i was going to say, but i mean in each tree....	those	trees	superb	those trees	2	(NP (DT Those) (NNS trees))
1363450:9	inside, these dwellings were dark like caves.	these	dwellings	dark	these dwellings	2	(NP (DT these) (NNS dwellings))
1368155:4	the figures were grim.	the	figures	grim	the figures	2	(NP (DT The) (NNS figures))
1373220:92	in any event, the" extra" trading week was spectacular for many retailers, and for those who started their sale on bank holiday monday --lrb- 28 december --rrb- the rewards were handsome.	the	rewards	handsome	the rewards	2	(NP (DT the) (NNS rewards))
1379085:51	the high court referred the application to the european court of justice, which found that the differences were permissible in terms of ec law.	the	differences	permissible	the differences	2	(NP (DT the) (NNS differences))
1379404:72	the woolwich feared that failure to make the payment would damage its reputation and that any penalties that could be enforced if the regulations were valid would exceed the return that could be made by investing the sum.	the	regulations	valid	the regulations	2	(NP (DT the) (NNS Regulations))
1379463:235	when the general commissioners reviewed the facts, they had regarded three matters as important: first, that the storage racking was bolted to the floor for safety purposes -- the commissioners took the view that there was no distinction between the racking --lrb- which was plant --rrb- and the platform; second, that members of the public were rarely admitted to the platform which was essentially for storage; and, third, that, although the platforms were large, there were cases where very large structures had been deemed to be plant.	the	platforms	large	the platforms	2	(NP (DT the) (NNS platforms))
1379866:50	this time, the audit report was heavily qualified, or rather, to be precise, the auditors were unable to express an opinion.	the	auditors	unable	the auditors	2	(NP (DT the) (NNS auditors))
1383565:49	the companies appealed to the high court under s 53, tma 1970, contending that the penalties were excessive.	the	penalties	excessive	the penalties	2	(NP (DT the) (NNS penalties))
1383579:71	the taxpayer appealed against the order on the grounds that the assessments were void ab initio because the inspector's letter showed that the assessments were cumulative and as such outside the powers conferred on the revenue in s 29, tma 1970.	the	assessments	cumulative	the assessments	2	(NP (DT the) (NNS assessments))
1384182:76	he added that, as panel procedures dictate, trafalgar's auditors, touche ross, have been reported to the appropriate regulatory body, since the accounts were unqualified.	the	accounts	unqualified	the accounts	2	(NP (DT the) (NNS accounts))
1384410:81	this accused pw of failing to protect bcci's" innocent depositors and creditors from the consequences of poor practice at the bank of which the auditors were aware for years".	the	auditors	aware	the auditors	2	(NP (DT the) (NNS auditors))
1385277:7	" the results were optimistic, in fact so optimistic that people found it difficult to accept.	the	results	optimistic	the results	2	(NP (DT The) (NNS results))
1387356:30	a factor to be considered was that the leases were short term and therefore often did not have long to run by the year end; this reduced the difference between a valuation with vacant possession and one with a tenant in occupation.	the	leases	short	the leases	2	(NP (DT the) (NNS leases))
1387944:172	in these circumstances, it was suggested that the auditors should have been aware that fidelity was vulnerable to a takeover bid and that any possible bidder such as caparo would be likely to rely on the accounts when deciding whether a bid should be made and that loss would be suffered by such a bidder if the accounts were inaccurate.	the	accounts	inaccurate	the accounts	2	(NP (DT the) (NNS accounts))
1389710:42	the number of entrants has dropped by 27% compared to 1991 and the judges were hopeful that the new application form -- combined with sorp 2 -- was not the cause.	the	judges	hopeful	the judges were hopeful that the new application form -- combined with sorp 2 -- was not the cause	17	(NP (DT the) (NNS judges) (S (VP (AUX were) (ADJP (JJ hopeful) (SBAR (IN that) (S (NP (NP (NP (DT the) (JJ new) (NN application)) (NN form)) (: -) (VP (VBN combined) (PP (IN with) (NP (NNP SORP) (CD 2)))) (: -)) (VP (AUX was) (RB not) (NP (DT the) (NN cause)))))))))
1389753:8	although the accounts were concise, the print was too small, and because of some confusion over the treatment of the initial endowment under covenant, the judges later decided that its turnover was over the$ 1m maximum for the category.	the	accounts	concise	the accounts	2	(NP (DT the) (NNS accounts))
1391560:223	now, in dodds v walker --lsb- 1981 --rsb- 2 all er 609, the house of lords, no less, decided that in calculating the period of a month or a specified number of months that had elapsed after the occurrence of a specified event such as the giving of a notice or suchlike, the general rule was that the period ended on the corresponding date in the appropriate subsequent month, irrespective of whether some months were longer than others.	some	months	longer	some months	2	(NP (DT some) (NNS months))
1392285:19	the tribunal therefore concluded that the dismissals were unfair.	the	dismissals	unfair	the dismissals	2	(NP (DT the) (NNS dismissals))
1395189:88	fountain playing in the foyer, flunkies in white livery, receptionists in tuxedos --lrb- all males of course -- not a female employee in the place, even the chambermaids were chambermen --rrb- i was very glad i wasn't paying.	the	chambermaids	chambermen	the chambermaids	2	(NP (DT the) (NNS chambermaids))
1395629:4	the authorities were glad to be able to recoup just a little money by renting this fine room to the baptists for a week.	the	authorities	glad	the authorities	2	(NP (DT The) (NNS authorities))
1397123:89	" are you --" she began, but before she could finish, the little frog was leaping up and down, nodding its head and croaking so loudly that the girls were afraid someone would hear.	the	girls	afraid	the girls	2	(NP (DT the) (NNS girls))
1397915:4	the details were such that austria and england were nearly involved in war over the matter.	the	details	such	the details	2	(NP (DT The) (NNS details))
1398283:7	now the tunnelers were right through and" there was placed under the parliament house where the king should sit, some 30 barrels of gunpowder, with great store of wood, faggots and bars of iron."	the	tunnelers	right	the tunnelers	2	(NP (DT the) (NNS tunnelers))
1399505:67	he knew that his brother-in-law had never been associated with a controversial or political activity at any time and that, if the files were genuine, his one would contain exactly nothing.	the	files	genuine	the files	2	(NP (DT the) (NNS files))
1399739:4	the others were tense.	the	others	tense	the others	2	(NP (DT The) (NNS others))
1400157:11	twelve of the men were paramilitary officers in the area centred on rathcoole, newtownabbey.	the	men	paramilitary	the men	2	(NP (DT the) (NNS men))
1400229:4	the men were correct that their arrests had been a political decision.	the	men	correct	the men	2	(NP (DT The) (NNS men))
1400243:4	the police were angry.	the	police	angry	the police	2	(NP (DT The) (NNS police))
1400637:4	the establishments were closed immediately and some time later the main details appeared in the dublin press.	the	establishments	closed	the establishments	2	(NP (DT The) (NNS establishments))
1400697:4	the vehicles were civilian cars owned by the army.	the	vehicles	civilian	the vehicles	2	(NP (DT The) (NNS vehicles))
1400815:4	the contracts were open-ended.	the	contracts	open-ended	the contracts	2	(NP (DT The) (NNS contracts))
1400963:43	ballylumford had had a long, bitter industrial dispute a few months earlier and the scars were raw and unhealed.	the	scars	raw	the scars	2	(NP (DT the) (NNS scars))
1401080:45	as is normal in such documents, the wording was restrained and tactful and the authorities were able to quote from it selectively in the knowledge that few would ever read it.	the	authorities	able	the authorities	2	(NP (DT the) (NNS authorities))
1401882:5	the sounds were plaintive, resonant, doom-laden as those of a passing-bell, and she recognized even then -- though she could not have found words to express it -- that it would turn out thus, just as she had said.	the	sounds	plaintive	the sounds	2	(NP (DT The) (NNS sounds))
